datetime,TCAp,sGRP,TSL_IR,TSL_Full,TSL_Vis,TSL_LUX,BMP_TempC,BMP_Pa,BMP_AltM,MPU_AccelXMss,MPU_AccelYMss,MPU_AccelZMss,MPU_GyroXRads,MPU_GyroYRads,MPU_GyroZRads,MPU_MagXuT,MPU_MagYuT,MPU_MagZuT,MPU_TempC,label,source_file
2020/07/20 20:26:43:294,1,1,76.0,485.0,409.0,56.29,28.08,100465.09,78.07,5.53,-5.89,5.31,0.0,-0.0,0.0,-10.69,15.66,-13.51,30.05,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:421,2,2,223.0,1322.0,1099.0,149.1,29.03,100423.05,81.6,6.63,-5.21,-5.1,0.0,-0.0,0.0,-13.77,11.9,6.96,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:547,0,0,81.0,500.0,419.0,57.3,28.79,100420.61,81.8,-7.87,-4.35,-3.33,-0.0,-0.0,0.0,16.66,16.23,-13.19,32.65,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:674,1,1,76.0,485.0,409.0,56.29,28.09,100465.82,78.01,5.52,-5.9,5.31,0.0,0.0,-0.0,-12.92,15.56,-15.26,30.05,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:801,2,2,223.0,1322.0,1099.0,149.1,29.03,100419.56,81.89,6.64,-5.23,-5.12,-0.0,0.0,-0.0,-12.68,11.17,10.27,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:43:928,0,0,81.0,500.0,419.0,57.3,28.79,100415.47,82.23,-7.88,-4.27,-3.38,-0.0,-0.0,0.0,17.78,18.4,-13.19,32.65,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:054,1,1,76.0,485.0,409.0,56.29,28.09,100467.69,77.85,5.54,-5.91,5.28,-0.0,-0.0,0.0,-7.72,15.84,-14.68,30.04,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:181,2,2,223.0,1322.0,1099.0,149.1,29.03,100425.12,81.42,6.6,-5.25,-5.12,-0.0,0.0,-0.0,-13.77,10.69,11.92,30.39,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:308,0,0,81.0,500.0,419.0,57.3,28.79,100414.61,82.3,-7.86,-4.36,-3.36,0.0,0.0,0.0,17.11,16.66,-12.02,32.65,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:434,1,1,76.0,485.0,409.0,56.29,28.09,100466.33,77.97,5.52,-5.89,5.26,0.0,-0.0,0.0,-6.24,15.66,-15.45,30.05,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:561,2,2,223.0,1321.0,1098.0,148.94,29.02,100424.53,81.44,6.64,-5.25,-5.11,0.0,0.0,0.0,-13.5,11.42,11.92,30.38,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:688,0,0,81.0,499.0,418.0,57.14,28.79,100415.13,82.26,-7.87,-4.35,-3.32,-0.0,-0.0,0.0,15.32,14.49,-14.95,32.66,missing_pressure,storage_ExFatLogger08.csv
2020/07/20 20:26:44:815,1,1,76.0,485.0,409.0,56.29,28.09,100463.77,78.18,5.51,-5.91,5.33,-0.0,-0.0,-0.0,-12.18,15.1,-16.62,30.04,missing_pressure,storage_ExFatLogger08.csv
